# Generated by GAMUT v1.0.1
# Grab the Dollar
# Game Parameter Values:
# Random seed:	1714224682502
# Cmd Line:	-g GrabTheDollar -actions 10 -f baked_gamut/grab_the_dollar_game.txt
# Players:	2
# Actions:	10 10
# actions:	[10]
[7  7] :	[ -67.24802795538588 -67.24802795538588 ]
[8  7] :	[ 33.16154413273247 78.64266591430979 ]
[9  7] :	[ 33.16154413273247 78.64266591430979 ]
[10  7] :	[ 33.16154413273247 78.64266591430979 ]
[1  8] :	[ 78.64266591430979 33.16154413273247 ]
[2  8] :	[ 78.64266591430979 33.16154413273247 ]
[3  8] :	[ 78.64266591430979 33.16154413273247 ]
[4  8] :	[ 78.64266591430979 33.16154413273247 ]
[5  8] :	[ 78.64266591430979 33.16154413273247 ]
[6  8] :	[ 78.64266591430979 33.16154413273247 ]
[7  8] :	[ 78.64266591430979 33.16154413273247 ]
[8  8] :	[ -67.24802795538588 -67.24802795538588 ]
[9  8] :	[ 33.16154413273247 78.64266591430979 ]
[10  8] :	[ 33.16154413273247 78.64266591430979 ]
[1  9] :	[ 78.64266591430979 33.16154413273247 ]
[2  9] :	[ 78.64266591430979 33.16154413273247 ]
[3  9] :	[ 78.64266591430979 33.16154413273247 ]
[4  9] :	[ 78.64266591430979 33.16154413273247 ]
[5  9] :	[ 78.64266591430979 33.16154413273247 ]
[6  9] :	[ 78.64266591430979 33.16154413273247 ]
[7  9] :	[ 78.64266591430979 33.16154413273247 ]
[8  9] :	[ 78.64266591430979 33.16154413273247 ]
[9  9] :	[ -67.24802795538588 -67.24802795538588 ]
[10  9] :	[ 33.16154413273247 78.64266591430979 ]
[1  10] :	[ 78.64266591430979 33.16154413273247 ]
[2  10] :	[ 78.64266591430979 33.16154413273247 ]
[3  10] :	[ 78.64266591430979 33.16154413273247 ]
[4  10] :	[ 78.64266591430979 33.16154413273247 ]
[5  10] :	[ 78.64266591430979 33.16154413273247 ]
[6  10] :	[ 78.64266591430979 33.16154413273247 ]
[7  10] :	[ 78.64266591430979 33.16154413273247 ]
[8  10] :	[ 78.64266591430979 33.16154413273247 ]
[9  10] :	[ 78.64266591430979 33.16154413273247 ]
[10  10] :	[ -67.24802795538588 -67.24802795538588 ]
